DeCodigo,DeNombre,Decade,Year,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
25,Cundinamarca,1960,1962,12,12,12788791.1472081,17915577.786802,5126786.6395939,181076750.426396,15089729.2021997,15029045.9492386,1474361.58849415,12788791.1472081,12788791.1472081,13889789.1116751,16210541.3908629,2320752.27918785
18,Caquetá,1960,1962,12,12,10821247.989418,18112426.7328042,7291178.7433862,178349765.5291,14862480.4607584,15799680.7989418,2542618.11531205,10821247.989418,10821247.989418,12539905.7460317,17259052.2764551,4719146.53042335
17,Caldas,1960,1962,12,12,13122744.8333333,17835757.8333333,4713013,183013727.433333,15251143.9527778,14933114.8833333,1376177.81919434,13122744.8333333,13122744.8333333,14405214.2,16399141.0833334,1993926.88333335
0,Area en Litigio Cauca - Huila,1960,1962,12,12,12268574.6666667,17589395.3333333,5320820.6666666,177564485.333333,14797040.4444444,15221914.6666667,1424598.03394501,12268574.6666667,12268574.6666667,13460697.3333334,15616618.6666666,2155921.3333333
15,Boyacá,1960,1962,12,12,13402761.9673913,17939824.576087,4537062.6086957,187717593.043478,15643132.7536232,15805746.0163044,1397306.13702508,13402761.9673913,13402761.9673913,14456996.2880435,16520526.3369565,2063530.0489131
99,Vichada,1960,1962,12,12,10325455.8161765,19442897.5318627,9117441.7156862,178817129.691176,14901427.4742647,15187473.1041667,2889703.25591477,10325455.8161765,10325455.8161765,12674008.4129901,16880090.0208334,4206081.6078432
13,Bolívar,1960,1962,12,12,13161057.5760369,17438674.5253456,4277616.9493087,179268679.013825,14939056.5844854,14919918.6129032,1147109.57149288,13161057.5760369,13161057.5760369,14075124.0184332,15572114.4930875,1496990.47465435
8,Atlántico,1960,1962,12,12,15068383.7142857,18919957.6428571,3851573.9285714,201155286,16762940.5,16219762.1785714,1231819.68143001,15068383.7142857,15068383.7142857,15862045.0714286,17738327.2857143,1876282.2142857
20,Cesar,1960,1962,12,12,13350227.7912088,17721081.0659341,4370853.2747253,187316863.428572,15609738.6190476,15774500.2307693,1195020.72329946,13350227.7912088,13350227.7912088,14751742.4615384,16276332.3736264,1524589.91208795
54,Norte de Santander,1960,1962,12,12,12711841.8764045,17015200.3483146,4303358.4719101,183592226.617977,15299352.2181648,15380548.1629214,1107229.69823242,12711841.8764045,12711841.8764045,14781325.4606741,16012905.9550561,1231580.494382
